Testing Dataset,Q7b Single-Dataset Training NMSE (dB),Q7c Mixed-Dataset Training NMSE (dB),"Improvement (B - C, dB)"
D1_indoor_uniform,1.1088590046972466,-2.785129488438374,3.8939884931356206
D2_indoor_center,21.153425638098753,14.297664079299519,6.855761558799234
D3_indoor_edge,-0.0028556432251113494,-5.3976337272059425,5.394778083980831
D4_indoor_hotspot,0.06220521855428479,-4.1280047297786275,4.190209948332912
D5_indoor_ring,0.14046638572127826,-4.329609859585961,4.470076245307239
D6_indoor_line,10.595164470659782,4.498329975334742,6.09683449532504
